c Minimum Spanning Tree
c
c nodes:  1000 ; arcs:  12000 ; cost range:  -5 - 10
c
p mst  1000 12000
e  0 1 10
e  0 2 -5
e  0 3 -4
e  3 4 -3
e  4 5 2
e  4 6 8
e  6 7 0
e  5 8 8
e  3 9 0
e  1 10 -1
e  6 11 8
e  2 12 -2
e  12 13 6
e  8 14 -1
e  13 15 9
e  3 16 1
e  8 17 -3
e  12 18 8
e  17 19 -4
e  19 20 -3
e  8 21 -3
e  7 22 4
e  10 23 7
e  8 24 3
e  11 25 8
e  19 26 5
e  22 27 0
e  13 28 10
e  5 29 -2
e  0 30 8
e  30 31 3
e  30 32 1
e  26 33 -1
e  30 34 0
e  8 35 1
e  19 36 2
e  14 37 6
e  23 38 -5
e  35 39 5
e  27 40 -1
e  37 41 -1
e  18 42 -1
e  41 43 4
e  24 44 4
e  5 45 7
e  0 46 6
e  31 47 5
e  1 48 1
e  24 49 0
e  39 50 3
e  0 51 1
e  0 52 8
e  40 53 7
e  25 54 10
e  24 55 8
e  3 56 6
e  51 57 4
e  55 58 -3
e  29 59 2
e  5 60 5
e  17 61 -5
e  55 62 -3
e  60 63 -3
e  2 64 8
e  24 65 4
e  49 66 9
e  52 67 6
e  16 68 1
e  10 69 6
e  59 70 -4
e  36 71 -3
e  25 72 7
e  37 73 -2
e  4 74 -2
e  65 75 1
e  6 76 -3
e  25 77 10
e  44 78 -3
e  16 79 1
e  59 80 9
e  47 81 1
e  22 82 6
e  8 83 4
e  20 84 -5
e  9 85 -1
e  57 86 5
e  2 87 -1
e  32 88 0
e  47 89 5
e  1 90 -1
e  10 91 10
e  8 92 2
e  74 93 5
e  56 94 5
e  56 95 10
e  46 96 2
e  82 97 1
e  68 98 3
e  69 99 10
e  42 100 -2
e  17 101 4
e  95 102 2
e  102 103 -2
e  21 104 8
e  33 105 10
e  73 106 2
e  51 107 4
e  11 108 9
e  42 109 -2
e  56 110 1
e  38 111 1
e  74 112 6
e  92 113 -2
e  47 114 4
e  100 115 7
e  66 116 3
e  97 117 7
e  59 118 6
e  26 119 6
e  47 120 -5
e  44 121 -5
e  75 122 -1
e  95 123 -5
e  57 124 -3
e  60 125 8
e  61 126 1
e  110 127 1
e  57 128 7
e  12 129 3
e  126 130 5
e  61 131 -3
e  124 132 -3
e  17 133 -5
e  130 134 2
e  13 135 -4
e  115 136 9
e  73 137 -1
e  93 138 0
e  27 139 4
e  123 140 -4
e  105 141 7
e  69 142 -4
e  76 143 3
e  69 144 2
e  27 145 -5
e  127 146 0
e  129 147 -1
e  61 148 9
e  126 149 7
e  127 150 4
e  44 151 8
e  85 152 4
e  18 153 7
e  141 154 -2
e  23 155 0
e  98 156 9
e  42 157 7
e  138 158 4
e  99 159 -5
e  1 160 10
e  49 161 6
e  0 162 5
e  85 163 8
e  1 164 -5
e  129 165 0
e  72 166 -4
e  166 167 -3
e  122 168 6
e  77 169 -4
e  93 170 -5
e  45 171 1
e  39 172 -3
e  79 173 0
e  97 174 -2
e  60 175 5
e  0 176 0
e  92 177 -5
e  53 178 1
e  12 179 7
e  62 180 8
e  70 181 8
e  9 182 -3
e  157 183 10
e  5 184 1
e  181 185 -2
e  174 186 5
e  173 187 7
e  125 188 0
e  17 189 2
e  10 190 8
e  149 191 8
e  61 192 -3
e  157 193 7
e  187 194 10
e  161 195 9
e  95 196 2
e  12 197 4
e  7 198 -1
e  67 199 0
e  49 200 5
e  90 201 -5
e  178 202 5
e  155 203 1
e  156 204 -2
e  178 205 1
e  189 206 1
e  0 207 -1
e  150 208 9
e  58 209 9
e  40 210 2
e  151 211 10
e  109 212 -5
e  155 213 6
e  174 214 7
e  169 215 8
e  147 216 3
e  10 217 -2
e  200 218 9
e  50 219 10
e  182 220 9
e  68 221 2
e  69 222 7
e  118 223 5
e  43 224 3
e  48 225 2
e  74 226 5
e  170 227 7
e  156 228 -5
e  161 229 -2
e  212 230 2
e  85 231 -1
e  94 232 0
e  79 233 -3
e  193 234 6
e  146 235 -1
e  157 236 3
e  0 237 5
e  210 238 -1
e  228 239 0
e  151 240 9
e  58 241 0
e  205 242 -4
e  162 243 9
e  175 244 10
e  13 245 8
e  6 246 1
e  39 247 -1
e  195 248 1
e  230 249 6
e  95 250 8
e  216 251 6
e  98 252 10
e  250 253 8
e  170 254 7
e  100 255 3
e  218 256 -1
e  117 257 6
e  172 258 2
e  103 259 -5
e  175 260 9
e  31 261 8
e  245 262 -1
e  44 263 8
e  252 264 -4
e  176 265 7
e  103 266 -5
e  204 267 -1
e  97 268 8
e  72 269 7
e  193 270 -4
e  134 271 -4
e  178 272 -4
e  58 273 6
e  202 274 -4
e  245 275 1
e  12 276 -4
e  165 277 1
e  50 278 -1
e  181 279 4
e  212 280 2
e  202 281 -2
e  182 282 -3
e  24 283 10
e  80 284 8
e  53 285 8
e  255 286 -5
e  119 287 2
e  204 288 -3
e  147 289 7
e  171 290 0
e  77 291 -2
e  40 292 10
e  64 293 4
e  284 294 -2
e  161 295 -2
e  1 296 3
e  207 297 1
e  27 298 -1
e  53 299 7
e  85 300 7
e  70 301 2
e  2 302 -4
e  272 303 -1
e  27 304 5
e  103 305 7
e  6 306 0
e  244 307 5
e  27 308 -5
e  252 309 1
e  154 310 8
e  11 311 -3
e  276 312 3
e  154 313 2
e  178 314 -3
e  235 315 -3
e  116 316 4
e  14 317 9
e  213 318 0
e  211 319 -1
e  192 320 -4
e  271 321 3
e  187 322 3
e  296 323 9
e  263 324 -1
e  192 325 -1
e  118 326 -3
e  189 327 7
e  209 328 10
e  106 329 0
e  307 330 6
e  297 331 -2
e  304 332 2
e  97 333 6
e  174 334 8
e  280 335 -5
e  285 336 2
e  280 337 4
e  38 338 3
e  323 339 2
e  194 340 -3
e  17 341 1
e  311 342 9
e  243 343 10
e  190 344 2
e  97 345 5
e  226 346 -3
e  64 347 1
e  75 348 9
e  223 349 7
e  115 350 8
e  345 351 8
e  60 352 -2
e  129 353 9
e  189 354 1
e  298 355 8
e  156 356 1
e  243 357 -3
e  276 358 4
e  150 359 -1
e  168 360 4
e  131 361 2
e  100 362 3
e  258 363 2
e  352 364 8
e  351 365 0
e  125 366 9
e  37 367 1
e  351 368 5
e  200 369 0
e  322 370 -3
e  370 371 10
e  154 372 3
e  221 373 -3
e  349 374 -2
e  257 375 6
e  51 376 2
e  210 377 0
e  76 378 -1
e  182 379 -5
e  303 380 -2
e  360 381 8
e  84 382 -4
e  183 383 0
e  208 384 3
e  165 385 -4
e  94 386 -5
e  76 387 9
e  340 388 5
e  275 389 6
e  295 390 6
e  95 391 7
e  374 392 7
e  317 393 1
e  80 394 6
e  357 395 8
e  51 396 -5
e  153 397 -4
e  155 398 9
e  118 399 -3
e  301 400 1
e  278 401 9
e  331 402 3
e  217 403 6
e  157 404 6
e  378 405 4
e  375 406 -1
e  177 407 7
e  212 408 4
e  345 409 10
e  102 410 4
e  303 411 -1
e  160 412 3
e  90 413 9
e  318 414 -1
e  250 415 -1
e  55 416 1
e  305 417 4
e  102 418 3
e  403 419 2
e  90 420 0
e  210 421 5
e  94 422 9
e  96 423 4
e  47 424 -5
e  413 425 3
e  170 426 8
e  204 427 3
e  74 428 -2
e  117 429 6
e  197 430 0
e  277 431 9
e  400 432 -2
e  82 433 6
e  166 434 10
e  299 435 0
e  160 436 8
e  16 437 9
e  149 438 1
e  318 439 4
e  281 440 0
e  53 441 1
e  370 442 3
e  375 443 -4
e  214 444 10
e  77 445 5
e  284 446 9
e  407 447 8
e  387 448 -4
e  14 449 2
e  327 450 4
e  146 451 0
e  415 452 0
e  440 453 8
e  337 454 2
e  332 455 -2
e  113 456 7
e  65 457 6
e  443 458 -3
e  176 459 8
e  130 460 5
e  295 461 5
e  408 462 -2
e  217 463 -4
e  134 464 8
e  262 465 4
e  65 466 9
e  130 467 1
e  146 468 -3
e  412 469 8
e  157 470 -4
e  108 471 -5
e  14 472 3
e  29 473 4
e  247 474 -2
e  306 475 6
e  393 476 3
e  13 477 5
e  472 478 -5
e  192 479 6
e  181 480 0
e  70 481 -5
e  410 482 0
e  365 483 -4
e  268 484 -1
e  270 485 -3
e  49 486 8
e  3 487 7
e  298 488 6
e  37 489 -5
e  159 490 8
e  256 491 2
e  268 492 0
e  115 493 -2
e  299 494 2
e  116 495 3
e  318 496 -2
e  475 497 1
e  432 498 5
e  151 499 -1
e  27 500 -2
e  65 501 8
e  391 502 7
e  60 503 5
e  327 504 6
e  117 505 3
e  287 506 0
e  488 507 -1
e  354 508 -3
e  454 509 3
e  373 510 8
e  108 511 -3
e  321 512 -3
e  207 513 -4
e  82 514 4
e  452 515 6
e  156 516 3
e  385 517 6
e  137 518 6
e  366 519 4
e  26 520 -4
e  276 521 6
e  202 522 -3
e  293 523 3
e  430 524 2
e  44 525 1
e  403 526 8
e  379 527 8
e  158 528 -5
e  480 529 3
e  213 530 10
e  112 531 -1
e  111 532 1
e  193 533 10
e  170 534 -2
e  209 535 0
e  215 536 4
e  395 537 -1
e  188 538 10
e  485 539 -1
e  510 540 6
e  513 541 4
e  34 542 -2
e  434 543 6
e  319 544 7
e  56 545 -5
e  427 546 -1
e  52 547 -2
e  351 548 -3
e  128 549 0
e  59 550 4
e  301 551 8
e  390 552 2
e  527 553 0
e  113 554 10
e  99 555 8
e  346 556 -2
e  145 557 1
e  167 558 2
e  459 559 9
e  136 560 -2
e  388 561 -5
e  389 562 4
e  378 563 2
e  470 564 8
e  121 565 -4
e  523 566 -4
e  373 567 9
e  351 568 -1
e  434 569 1
e  160 570 5
e  35 571 8
e  52 572 10
e  500 573 4
e  263 574 -4
e  395 575 8
e  452 576 3
e  551 577 1
e  288 578 4
e  374 579 -5
e  368 580 -5
e  497 581 10
e  344 582 9
e  42 583 5
e  419 584 8
e  487 585 -3
e  63 586 7
e  265 587 -1
e  581 588 8
e  217 589 6
e  497 590 8
e  326 591 5
e  533 592 6
e  430 593 -3
e  322 594 -3
e  448 595 7
e  413 596 1
e  169 597 2
e  503 598 3
e  197 599 -4
e  383 600 -4
e  363 601 2
e  569 602 8
e  599 603 7
e  212 604 0
e  362 605 10
e  547 606 7
e  512 607 1
e  195 608 8
e  443 609 -4
e  562 610 -4
e  107 611 0
e  407 612 -2
e  201 613 -1
e  222 614 7
e  487 615 0
e  363 616 7
e  514 617 -3
e  403 618 9
e  273 619 7
e  392 620 2
e  534 621 7
e  286 622 3
e  11 623 10
e  167 624 0
e  306 625 2
e  341 626 1
e  625 627 -1
e  70 628 10
e  561 629 9
e  351 630 10
e  290 631 4
e  5 632 6
e  115 633 6
e  76 634 10
e  492 635 9
e  115 636 -2
e  187 637 -5
e  630 638 6
e  622 639 7
e  169 640 3
e  473 641 -1
e  466 642 -1
e  384 643 2
e  447 644 4
e  46 645 5
e  84 646 -3
e  618 647 0
e  455 648 1
e  283 649 7
e  399 650 1
e  332 651 1
e  382 652 -2
e  402 653 -5
e  376 654 -3
e  651 655 3
e  454 656 7
e  572 657 0
e  618 658 3
e  526 659 -5
e  295 660 -5
e  3 661 3
e  619 662 9
e  349 663 2
e  575 664 6
e  264 665 -2
e  298 666 -1
e  205 667 4
e  108 668 -3
e  146 669 -2
e  33 670 -5
e  555 671 0
e  267 672 7
e  200 673 2
e  484 674 -1
e  424 675 9
e  282 676 1
e  654 677 9
e  308 678 -2
e  655 679 6
e  279 680 10
e  505 681 7
e  529 682 -5
e  218 683 10
e  183 684 -1
e  157 685 8
e  611 686 -2
e  201 687 4
e  331 688 -4
e  668 689 9
e  505 690 -3
e  303 691 8
e  169 692 10
e  231 693 0
e  70 694 2
e  581 695 2
e  188 696 5
e  171 697 -2
e  97 698 6
e  498 699 -3
e  87 700 1
e  682 701 -2
e  40 702 1
e  23 703 10
e  388 704 -5
e  331 705 8
e  76 706 9
e  641 707 6
e  507 708 6
e  20 709 4
e  118 710 6
e  686 711 3
e  175 712 8
e  559 713 -5
e  353 714 4
e  352 715 0
e  608 716 7
e  712 717 3
e  40 718 6
e  274 719 7
e  116 720 6
e  521 721 -2
e  502 722 -1
e  593 723 9
e  629 724 9
e  682 725 -2
e  629 726 8
e  106 727 0
e  76 728 -3
e  212 729 1
e  185 730 4
e  479 731 2
e  481 732 0
e  444 733 -4
e  475 734 10
e  680 735 -5
e  511 736 -3
e  655 737 3
e  626 738 -2
e  452 739 9
e  680 740 3
e  395 741 9
e  392 742 6
e  205 743 4
e  50 744 -4
e  45 745 7
e  563 746 5
e  190 747 9
e  523 748 0
e  658 749 8
e  633 750 -5
e  513 751 6
e  414 752 -2
e  687 753 5
e  31 754 8
e  276 755 5
e  310 756 0
e  755 757 -5
e  558 758 3
e  206 759 -2
e  368 760 3
e  233 761 2
e  22 762 -3
e  111 763 -1
e  199 764 3
e  704 765 0
e  682 766 6
e  694 767 4
e  278 768 4
e  7 769 0
e  142 770 -2
e  690 771 6
e  510 772 7
e  50 773 0
e  43 774 3
e  285 775 6
e  110 776 10
e  1 777 -2
e  11 778 6
e  395 779 10
e  122 780 10
e  264 781 7
e  501 782 9
e  322 783 4
e  555 784 -4
e  442 785 -4
e  50 786 -3
e  584 787 -5
e  14 788 6
e  292 789 4
e  641 790 9
e  112 791 1
e  56 792 -2
e  100 793 7
e  184 794 0
e  571 795 -2
e  709 796 -5
e  637 797 6
e  614 798 2
e  109 799 5
e  295 800 7
e  754 801 1
e  783 802 10
e  762 803 -3
e  698 804 5
e  779 805 -4
e  558 806 7
e  360 807 7
e  510 808 -2
e  668 809 -2
e  245 810 9
e  786 811 -3
e  512 812 4
e  508 813 2
e  703 814 3
e  458 815 5
e  351 816 -3
e  691 817 -2
e  514 818 -4
e  529 819 5
e  547 820 0
e  138 821 9
e  371 822 -5
e  190 823 2
e  173 824 2
e  640 825 6
e  563 826 4
e  205 827 -4
e  643 828 0
e  586 829 -5
e  242 830 6
e  244 831 8
e  474 832 -2
e  605 833 6
e  557 834 -4
e  377 835 -2
e  332 836 -5
e  79 837 9
e  744 838 0
e  517 839 -1
e  550 840 6
e  765 841 -1
