c Minimum Spanning Tree
c
c nodes:  100 ; arcs:  800 ; cost range:  -5 - 10
c
p mst  100 800
e  0 1 -2
e  0 2 1
e  0 3 0
e  0 4 -4
e  4 5 0
e  0 6 -2
e  0 7 -5
e  3 8 8
e  2 9 8
e  7 10 -1
e  5 11 -5
e  11 12 -5
e  5 13 10
e  3 14 -4
e  12 15 4
e  1 16 9
e  3 17 0
e  8 18 -4
e  17 19 5
e  2 20 5
e  2 21 0
e  17 22 -3
e  19 23 8
e  22 24 -3
e  17 25 5
e  20 26 -5
e  25 27 8
e  15 28 2
e  9 29 1
e  5 30 0
e  7 31 -1
e  30 32 -4
e  3 33 9
e  27 34 3
e  19 35 2
e  6 36 -4
e  33 37 7
e  21 38 -2
e  38 39 2
e  16 40 6
e  32 41 9
e  22 42 -5
e  17 43 -2
e  16 44 3
e  35 45 6
e  1 46 5
e  40 47 -2
e  12 48 9
e  33 49 -3
e  40 50 -4
e  45 51 5
e  2 52 -1
e  29 53 10
e  48 54 5
e  40 55 2
e  25 56 2
e  51 57 5
e  14 58 -1
e  8 59 2
e  44 60 6
e  17 61 10
e  56 62 4
e  23 63 5
e  7 64 -3
e  49 65 10
e  36 66 8
e  66 67 5
e  51 68 10
e  11 69 5
e  48 70 1
e  22 71 9
e  46 72 4
e  41 73 1
e  50 74 -4
e  28 75 5
e  73 76 -3
e  51 77 -3
e  26 78 0
e  11 79 -2
e  6 80 6
e  46 81 10
e  33 82 6
e  74 83 3
e  16 84 -2
e  57 85 1
e  80 86 -1
e  20 87 2
e  80 88 10
e  82 89 5
e  86 90 0
e  22 91 0
e  58 92 2
e  87 93 2
e  20 94 -5
e  85 95 7
e  41 96 1
e  50 97 2
e  0 98 0
e  47 99 8
e  56 58 -2
e  2 67 3
e  33 57 -2
e  60 89 8
e  29 64 -3
e  12 80 -5
e  36 43 8
e  48 74 6
e  33 96 -2
e  38 46 9
e  49 55 9
e  2 58 -3
e  25 76 8
e  56 95 -2
e  7 57 -1
e  4 31 6
e  37 57 10
e  37 45 9
e  5 46 2
e  34 35 7
e  19 39 -4
e  5 73 -5
e  9 81 8
e  18 71 2
e  55 81 -3
e  51 81 -1
e  23 48 2
e  52 78 3
e  53 55 -1
e  66 68 6
e  86 92 5
e  47 78 4
e  11 14 7
e  11 82 5
e  12 47 -3
e  34 44 5
e  54 56 10
e  22 32 4
e  49 54 4
e  26 90 2
e  25 58 7
e  23 34 1
e  47 86 3
e  26 85 5
e  5 26 4
e  73 86 8
e  77 99 10
e  15 56 8
e  59 94 -4
e  40 87 8
e  87 99 2
e  19 51 5
e  67 84 2
e  60 64 -2
e  20 32 5
e  15 66 5
e  12 59 -4
e  57 98 8
e  21 69 2
e  54 65 -1
e  5 57 5
e  65 74 8
e  42 52 -1
e  5 55 2
e  59 69 2
e  6 27 3
e  4 26 -4
e  15 89 -5
e  15 46 7
e  9 63 -3
e  41 63 -5
e  70 80 -2
e  44 82 9
e  9 74 0
e  7 50 -3
e  18 86 7
e  1 77 6
e  55 99 10
e  24 59 2
e  34 75 2
e  37 90 6
e  27 72 1
e  11 58 9
e  1 66 7
e  85 92 -5
e  42 46 -5
e  69 92 -1
e  12 68 8
e  11 81 3
e  13 88 9
e  24 46 2
e  27 48 -4
e  79 92 7
e  28 34 2
e  48 65 7
e  59 75 -1
e  20 21 0
e  46 62 1
e  17 52 10
e  11 50 2
e  16 21 3
e  56 85 10
e  2 84 0
e  28 67 -3
e  27 93 -1
e  3 80 9
e  65 81 9
e  52 91 5
e  12 65 4
e  48 81 -3
e  20 55 4
e  64 89 -1
e  96 97 7
e  41 49 2
e  43 86 4
e  35 73 5
e  8 89 4
e  43 69 0
e  53 89 2
e  11 36 -3
e  74 94 -5
e  29 72 2
e  43 68 -3
e  11 39 10
e  54 87 -5
e  24 36 5
e  63 82 10
e  26 27 10
e  9 93 9
e  15 24 8
e  35 71 -1
e  62 86 -2
e  5 43 4
e  10 13 8
e  17 91 7
e  62 99 5
e  10 41 6
e  29 39 1
e  80 82 9
e  56 60 1
e  13 19 2
e  36 60 0
e  42 72 6
e  39 45 1
e  2 35 3
e  44 77 -3
e  54 93 8
e  40 45 -5
e  17 92 1
e  6 71 -3
e  70 73 3
e  24 35 2
e  4 80 1
e  74 82 7
e  37 41 8
e  60 79 -5
e  31 87 2
e  20 93 3
e  62 84 0
e  63 81 1
e  58 63 -5
e  41 50 5
e  39 71 9
e  29 56 10
e  10 31 -2
e  1 73 10
e  47 69 -5
e  47 91 5
e  28 39 4
e  1 91 0
e  12 98 -1
e  33 79 7
e  34 83 4
e  11 31 9
e  0 61 -3
e  13 58 0
e  33 62 -3
e  73 80 -3
e  5 60 -5
e  2 59 0
e  55 61 6
e  82 93 1
e  49 96 -3
e  26 38 -3
e  85 98 4
e  12 23 -1
e  5 16 9
e  53 69 4
e  0 59 5
e  58 71 3
e  2 51 -5
e  19 59 2
e  25 55 2
e  56 96 5
e  22 75 -4
e  65 82 7
e  64 73 0
e  16 70 8
e  32 88 0
e  48 85 4
e  65 98 8
e  89 95 8
e  8 36 -3
e  1 51 -1
e  24 74 -4
e  24 81 0
e  66 83 0
e  46 76 0
e  42 92 6
e  22 25 0
e  26 33 10
e  68 88 0
e  11 88 8
e  17 53 3
e  72 80 1
e  52 87 -1
e  15 73 -3
e  20 89 3
e  37 70 9
e  10 53 -1
e  41 52 10
